ZoteroScannableCite	bibliographicCitation_cl
{ | Коткова, 2008 | | |zu:4723341:T8LF9DSH}	(Kotkova 2008a)
{ | Коткова, 2008 | | |zu:4723341:UN9R2QDX}	(Kotkova 2008b)
{ | Коткова, 2009 | | |zu:4723341:DR7SIJ79}	(Kotkova 2009c)
{ | Коткова, 2009 | | |zu:4723341:PH42BNV4}	(Kotkova 2009b)
{ | Коткова, 2009 | | |zu:4723341:XWQII8NI}	(Kotkova 2009a)
{ | Коткова, 2010 | | |zu:4723341:ETDPU4S2}	(Kotkova 2010c)
{ | Коткова, 2010 | | |zu:4723341:RU5VZNQF}	(Kotkova 2010b)
{ | Коткова, 2011 | | |zu:4723341:75E997WR}	(Kotkova 2011b)
{ | Коткова, 2011 | | |zu:4723341:S4R26MJH}	(Kotkova 2011d)
{ | Коткова, 2011 | | |zu:4723341:TTR35DTA}	(Kotkova 2011c)
{ | Коткова, 2012 | | |zu:4723341:FHK3CSCV}	(Kotkova 2012b)
{ | Коткова, 2012 | | |zu:4723341:HQ427P6N}	(Kotkova 2012f)
{ | Коткова, 2012 | | |zu:4723341:VIUIHUUJ}	(Kotkova 2012g)
{ | Коткова, 2012 | | |zu:4723341:VNYR7D42}	(Kotkova 2012a)
{ | Коткова, 2012 | | |zu:4723341:VRUYRD34}	(Kotkova 2012e)
{ | Коткова, 2013 | | |zu:4723341:FDTKFXZR}	(Kotkova 2013c)
{ | Коткова, 2013 | | |zu:4723341:KN6PJK95}	(Kotkova 2013e)
{ | Коткова, 2013 | | |zu:4723341:UAJ6S6KS}	(Kotkova 2013a)
{ | Коткова, 2014 | | |zu:4723341:BBM5DVJT}	(Kotkova 2014b)
{ | Коткова, 2014 | | |zu:4723341:DYF8JT28}	(Kotkova 2014e)
{ | Коткова, 2014 | | |zu:4723341:SKWC8HPQ}	(Kotkova 2014a)
{ | Коткова, 2014 | | |zu:4723341:XND48DRL}	(Kotkova 2014c)
{ | Коткова, 2015 | | |zu:4723341:32SYTGL6}	(Kotkova 2015a)
{ | Коткова, 2015 | | |zu:4723341:FGRUZXRM}	(Kotkova 2015b)
{ | Коткова, 2016 | | |zu:4723341:BA9AXT5H}	(Kotkova 2016c)
{ | Коткова, 2016 | | |zu:4723341:EFECV8PR}	(Kotkova 2016a)
{ | Коткова, 2016 | | |zu:4723341:M4EM2H7I}	(Kotkova 2016b)
{ | Коткова, 2017 | | |zu:4723341:FVNR83FT}	(Kotkova 2017b)
{ | Коткова, 2018 | | |zu:4723341:J3CUZUEI}	(Kotkova 2018)
{ | Коткова, 2019 | | |zu:4723341:CBYNLW82}	(Kotkova 2019b)
{ | Коткова, 2019 | | |zu:4723341:N23FVQWX}	(Kotkova 2019a)
{ | Коткова, 2020 | | |zu:4723341:9NMT7HLY}	(Kotkova 2020)
{ | Коткова, 2021 | | |zu:4723341:EUKKZVYL}	(Kotkova 2021)
{ | Коткова, et al., 2004 | | |zu:4723341:N6GKGHKX}	(Kotkova et al. 2004)
{ | Коткова, et al., 2005 | | |zu:4723341:4T9JV6VA}	(Kotkova et al. 2005)
{ | Коткова, et al., 2006 | | |zu:4723341:RA6QHCAX}	(Kotkova et al. 2006b)
{ | Коткова, et al., 2006 | | |zu:4723341:VHXUKCMY}	(Kotkova et al. 2006a)
{ | Коткова, et al., 2007 | | |zu:4723341:HVHALNL4}	(Kotkova et al. 2007)
{ | Коткова, et al., 2009 | | |zu:4723341:XLS65YTY}	(Kotkova et al. 2009)
{ | Коткова, et al., 2010 | | |zu:4723341:YNUV3E77}	(Kotkova 2010a)
{ | Коткова, et al., 2011 | | |zu:4723341:4SZLGD8J}	(Kotkova et al. 2011)
{ | Коткова, et al., 2011 | | |zu:4723341:NIZPMP4X}	(Kotkova 2011a)
{ | Коткова, et al., 2012 | | |zu:4723341:B5IMFMRP}	(Kotkova & Popov 2012)
{ | Коткова, et al., 2013 | | |zu:4723341:ZXQYN3S9}	(Kotkova 2013b)
{ | Коткова, et al., 2015 | | |zu:4723341:J9XMZNSA}	(Kotkova et al. 2015)
{ | Коткова, et al., 2017 | | |zu:4723341:9ZD4IURH}	(Kotkova 2017a)
{ | Коткова, et al., 2018 | | |zu:4723341:A9UJX5Q2}	(Kotkova et al. 2018)
{ | Коткова, et al., 2020 | | |zu:4723341:DDLF56AH}	(Kotkova et al. 2020)
{ | Кравченко, et al., 2017 | | |zu:4723341:PYH38CE5}	(Kravchenko et al. 2017)
{ | Кривошеева, & Симанков, 1969 | | |zu:4723341:8DDPF67Z}	(Krivosheeva 1969)
{ | Кругликов, 2007 | | |zu:4723341:2Q2U8TLD}	(Kruglikov 2007)
{ | Крутов, & Руоколайнен, 2008 | | |zu:4723341:ZFNQNLZT}	(Krutov & Ruokolainen 2008)
{ | Крутов, & Руоколайнен, 2010 | | |zu:4723341:Y5DMAIPU}	(Krutov & Ruokolainen 2010)
{ | Крутов, et al., 2004 | | |zu:4723341:JAECNGSN}	(Krutov 2004)
{ | Крутов, et al., 2014 | | |zu:4723341:6H54ZWJ9}	(Krutov et al. 2014)
{ | Кузнецов, & Ремезов, 1960 | | |zu:4723341:C5IC3PRX}	(Kuznetsov 1960)
{ | Кузнецов, 2020 | | |zu:4723341:UVW5GHCS}	(Kuznetsov 2020)
{ | Курагина, & Мухин, 2015 | | |zu:4723341:PEC6SVKZ}	(Kuragina 2015)
{ | Курагина, 2013 | | |zu:4723341:5KYJ8QAW}	(Kuragina 2013)
{ | Курагина, 2014 | | |zu:4723341:CHLML34P}	(Kuragina 2014a)
{ | Курагина, 2014 | | |zu:4723341:ZAQ7ADC8}	(Kuragina 2014b)
{ | Курагина, et al., 2018 | | |zu:4723341:XWP5R6WN}	(Kuragina et al. 2018)
{ | Курочкин, & Коткова, 2011 | | |zu:4723341:UWBKXP5M}	(Kurochkin & Kotkova 2011)
{ | Курочкин, & Медведев, 2015 | | |zu:4723341:BI2GSMEH}	(Kurochkin & Medvedev 2015)
{ | Курочкин, 2016 | | |zu:4723341:RQL25MQS}	(Kurochkin 2016)
{ | Кутова, & Новиков, 1957 | | |zu:4723341:DIL8KU59}	(Kutova 1957)
{ | Кычанова, 1972 | | |zu:4723341:B7GYJ7G6}	(Kychanova 1972)
{ | Лазарева, 1997 | | |zu:4723341:DWBXGSRZ}	(Lazareva 1997)
{ | Лазарева, 1998 | | |zu:4723341:D5LRWPWU}	(Lazareva 1998)
{ | Лебедева, 1933 | | |zu:4723341:DNMZ3Q7K}	(Lebedeva 1933)
{ | Левицкая, 1995 | | |zu:4723341:3QSHMH4H}	(Levitskaya 1995)
{ | Лобик, 1914 | | |zu:4723341:IAHQB9WS}	(Lobik 1914)
{ | Лосицкая, 1997 | | |zu:4723341:IMZQ2DNL}	(Lositskaya 1997)
{ | Лосицкая, 1998 | | |zu:4723341:QT5CF8GJ}	(Lositskaya 1998)
{ | Лосицкая, 1999 | | |zu:4723341:3L9VZH7R}	(Lositskaya 1999)
{ | Лосицкая, 2000 | | |zu:4723341:8HTPUXU4}	(Lositskaya 2000b)
{ | Лосицкая, 2000 | | |zu:4723341:EPH7ZPFK}	(Lositskaya 2000a)
{ | Лосицкая, 2002 | | |zu:4723341:5UTNUGP5}	(Lositskaya 2002)
{ | Лосицкая, et al., 1999 | | |zu:4723341:YTMP89KP}	(Lositskaya et al. 1999)
{ | Маленкова, & Сафонов, 2016 | | |zu:4723341:8JBG89BE}	(Malenkova & Safonov 2016)
{ | Малышева, & Акулов, 2012 | | |zu:4723341:EEHHMK7I}	(Malysheva & Akulov 2012)
{ | Малышева, & Малышева, 2004 | | |zu:4723341:QNTZKJUN}	(Malysheva & Malysheva 2004)
{ | Малышева, & Малышева, 2005 | | |zu:4723341:UAXIMP3H}	(Malysheva & Malysheva 2005)
{ | Малышева, & Малышева, 2006 | | |zu:4723341:7TKZSCAD}	(Malysheva & Malysheva 2006)
{ | Малышева, & Малышева, 2007 | | |zu:4723341:6YH5FLVF}	(Malysheva & Malysheva 2007)
{ | Малышева, & Малышева, 2008 | | |zu:4723341:C5UXP8YZ}	(Malysheva & Malysheva 2008)
{ | Малышева, & Федосова, 2012 | | |zu:4723341:YNKUDQPQ}	(Malysheva & Fedosova 2012)
{ | Малышева, 2001 | | |zu:4723341:QUSDPY4E}	(Malysheva 2001)
{ | Малышева, 2002 | | |zu:4723341:BPTN4B4U}	(Malysheva 2002)
{ | Малышева, 2005 | | |zu:4723341:UXSB34C4}	(Malysheva 2005)
{ | Малышева, 2006 | | |zu:4723341:Q68ZZYIT}	(Malysheva 2006b)
{ | Малышева, 2012 | | |zu:4723341:VAMRYP7D}	(Malysheva 2012)
{ | Малышева, 2013 | | |zu:4723341:SKKNVWKA}	(Malysheva 2013)
{ | Малышева, et al., 2006 | | |zu:4723341:GBCETGG3}	(Malysheva et al. 2006)
{ | Малышева, et al., 2007 | | |zu:4723341:G4GMDETF}	(Malysheva et al. 2007)
{ | Малышева, et al., 2014 | | |zu:4723341:PTKZ6GR7}	(Malysheva & Ordynets 2014)
{ | Малышева, et al., 2017 | | |zu:4723341:CZ2PCCWB}	(Malysheva et al. 2017)
{ | Малышева, et al., 2018 | | |zu:4723341:8Y7M57CR}	(Malysheva et al. 2018c)
{ | Марков, & Горчаковский, 1990 | | |zu:4723341:QDKV2AQE}	(Markov 1990)
{ | Мартыненко, 2021 | | |zu:4723341:58BYRHAF}	(Martynenko 2021)
{ | Марфин, & Димитриев, 2001 | | |zu:4723341:XEBIQEQU}	(Marfin 2001)
{ | Матвеева, 2006 | | |zu:4723341:C5CWKNSG}	(Matveyeva 2006)
{ | Матвеева, 2020 | | |zu:4723341:8EE66WN6}	(Matveyeva 2020)
{ | Миркин, 2011 | | |zu:4723341:L5UQQSKV}	(Mirkin 2011)
{ | Мишулин, et al., 2017 | | |zu:4723341:G4FSUF2H}	(Mishulin & Skripchenko 2017)
{ | Мишулин, et al., 2018 | | |zu:4723341:9MMUUPX6}	(Mishulin et al. 2018)
{ | Мишулин, et al., 2018 | | |zu:4723341:BADH6ZLV}	(Mishulin & Skripchenko 2018)
{ | Мишулин, et al., 2019 | | |zu:4723341:YDRPRHUK}	(Mishulin et al. 2019)
{ | Морозова, & Цвелев, 2007 | | |zu:4723341:QAD37CCG}	(Morozova 2007)
{ | Морозова, et al., 2008 | | |zu:4723341:Z3JJEMCA}	(Morozova et al. 2008)
{ | Морозова, et al., 2014 | | |zu:4723341:38KD64TJ}	(Morozova et al. 2014)
{ | Морочковський, 1948 | | |zu:4723341:I5Z6X8NB}	(Morochkovsky 1948)
{ | Мосолов, 1906 | | |zu:4723341:3LQSFVES}	(Mosolov 1906)
{ | Мурашкинский, & Кулешов, 1940 | | |zu:4723341:ZJJT7M55}	(Murashkinsky 1940)
{ | Мурашкинский, 1911 | | |zu:4723341:VWR3UZRS}	(Murashkinsky 1911)
{ | Мучник, & Светашева, 2021 | | |zu:4723341:7WXGWSGB}	(Muchnik & Svetasheva 2021)
{ | Мучник, et al., 2009 | | |zu:4723341:JCI46W6V}	(Muchnik et al. 2009)
{ | Мучник, et al., 2020 | | |zu:4723341:AUJVCY5L}	(Muchnik et al. 2020)
{ | Назиров, et al., 2016 | | |zu:4723341:ZH7TWD28}	(Nazirov et al. 2016)
{ | Наумов, 1915 | | |zu:4723341:CVW3FSXS}	(Naoumoff 1915)
{ | Николаев, 1983 | | |zu:4723341:Z6UTRQGB}	(Nikolayev 1983)
{ | Николаев, 1986 | | |zu:4723341:F3MCVZLZ}	(Nikolayev 1986)
{ | Николаева, & Савич, 1940 | | |zu:4723341:37TJ33X9}	(Nikolajeva 1940)
{ | Николаева, & Савич, 1950 | | |zu:4723341:3QGYTAI4}	(Nikolajeva 1950)
{ | Николаева, & Савич, 1953 | | |zu:4723341:C77DCNY7}	(Nikolajeva 1953)
{ | Николаева, & Савич, 1954 | | |zu:4723341:JCD9WNTA}	(Nikolajeva 1954)
{ | Николаева, 1955 | | |zu:4723341:MNBFWEQY}	(Nikolajeva 1955)
{ | Николаева, 1961 | | |zu:4723341:MBA9GVMI}	(Nikolajeva 1961)
{ | Николаева, 1970 | | |zu:4723341:7QH2ARK3}	(Nikolajeva 1970)
{ | Новиков, & Силаева, 2003 | | |zu:4723341:GQIWA98Y}	(Novikov & Silaeva 2003)
{ | Новоселов, 2008 | | |zu:4723341:JVMJVNIW}	(Novoselov 2008)
{ | Носков, 2004 | | |zu:4723341:9ZY2FEKH}	(Noskov 2004)
{ | Нотов, & Гимельбрант, 2013 | | |zu:4723341:E3X2HNFA}	(Notov & Himelbrant 2013)
{ | Нотов, & Гимельбрант, 2017 | | |zu:4723341:BNSMSYKI}	(Notov & Himelbrant 2017)
{ | Нотов, et al., 2011 | | |zu:4723341:D7H5A8L3}	(Notov et al. 2011)
{ | Нянковский, 2015 | | |zu:4723341:KJU73SVL}	(Nyankovsky 2015)
{ | Ордынец, et al., 2014 | | |zu:4723341:Q7IS4VUE}	(Ordynets & Volobuev 2014)
{ | Орлов, et al., 2016 | | |zu:4723341:JPY4PAI2}	(Orlov et al. 2016)
{ | Охапкин, 2005 | | |zu:4723341:VAN56YZF}	(Okhapkin 2005)
{ | Паламарчук, et al., 2019 | | |zu:4723341:DHRC9WGU}	(Palamarchuk et al. 2019)
{ | Пармасто, 1959 | | |zu:4723341:SJWGMBHV}	(Parmasto 1959)
{ | Пармасто, 1962 | | |zu:4723341:3Q4PYJL4}	(Parmasto 1962)
{ | Пармасто, 1963 | | |zu:4723341:IF2327TT}	(Parmasto 1963)
{ | Пармасто, 1965 | | |zu:4723341:GSA3Q29Z}	(Parmasto 1965b)
{ | Пармасто, 1967 | | |zu:4723341:PB46EBIM}	(Parmasto 1967b)
{ | Пармасто, 1970 | | |zu:4723341:UXUMMY9W}	(Parmasto 1971)
{ | Пармасто, 1973 | | |zu:4723341:SF3GSSG6}	(Parmasto 1973)
{ | Переведенцев, & Селиванов, 1985 | | |zu:4723341:WKM28CEU}	(Perevedentsev 1985)
{ | Переведенцев, et al., 1980 | | |zu:4723341:VU3AMRFL}	(Perevedentsev & Stepanova 1980)
{ | Переведенцев, et al., 1981 | | |zu:4723341:GMRUDEQS}	(Perevedentsev & Stepanova 1981)
{ | Переведенцев, et al., 1983 | | |zu:4723341:VV3Y4TA8}	(Perevedentsev & Stepanova 1983)
{ | Петров, 1910 | | |zu:4723341:GUEB6KAV}	(Petroff 1910)
{ | Петров, 1911 | | |zu:4723341:9VAMAT6Y}	(Petroff 1911)
{ | Пилипенко, et al., 2014 | | |zu:4723341:FWMLDIEW}	(Pilipenko et al. 2014)
{ | Пипенко, 2012 | | |zu:4723341:CQLEI49N}	(Pipenko 2012)
{ | Попов, & Волобуев, 2014 | | |zu:4723341:HS3DQK66}	(Popov & Volobuev 2014)
{ | Попов, & Коткова, 2012 | | |zu:4723341:SIID63NX}	(Popov & Kotkova 2012)
{ | Попов, 2001 | | |zu:4723341:F4AZT7NS}	(Popov 2001)
{ | Попов, et al., 2012 | | |zu:4723341:M8JVL3NL}	(Popov 2012)
{ | Попов, et al., 2013 | | |zu:4723341:8NCWYD2L}	(Popov et al. 2013)
{ | Потапов, & Лукьянова, 2015 | | |zu:4723341:YZRFFPPP}	(Potapov 2015)
{ | Потапов, 2016 | | |zu:4723341:2AIGB9KS}	(Potapov 2016a)
{ | Потапов, 2016 | | |zu:4723341:QZMSJMP6}	(Potapov 2016b)
{ | Потапов, et al., 2013 | | |zu:4723341:WWUQ23PI}	(Potapov et al. 2013)
{ | Предтеченская, & Руоколайнен, 2013 | | |zu:4723341:EFP8VZSL}	(Predtechenskaya & Ruokolainen 2013)
{ | Предтеченская, et al., 2008 | | |zu:4723341:8VWQTUP5}	(Predtechenskaya & Ruokolainen 2008)
{ | Предтеченская, et al., 2014 | | |zu:4723341:VSFALDEH}	(Predtechenskaya & Ruokolainen 2014)
{ | Прейкша, et al., 2012 | | |zu:4723341:E6CGAAEN}	(Preiksa et al. 2012)
{ | Пригоряну, 2007 | | |zu:4723341:FY5YMCC7}	(Prigoryanu 2007)
{ | Присный, 2005 | | |zu:4723341:PTBVL777}	(Prisny 2005)
{ | Присный, 2019 | | |zu:4723341:YJD3EXXW}	(Prisny 2019)
{ | Прохоров, & Глотов, 2007 | | |zu:4723341:7GPVQKQQ}	(Prokhorov 2007)
{ | Псурцева, et al., 2003 | | |zu:4723341:XY23UBLG}	(Psurtseva et al. 2003)
{ | Пыстина, et al., 1969 | | |zu:4723341:YZ63RHHB}	(Pystina et al. 1969)
{ | Райтвийр, 1963 | | |zu:4723341:3P9LSMHS}	(Raitviir 1963)
{ | Райтвийр, 1967 | | |zu:4723341:9Z84KCV3}	(Raitviir 1967)
{ | Ребриев, & Бердников, 2018 | | |zu:4723341:2ZARJARX}	(Rebriev 2018)
{ | Ребриев, et al., 2010 | | |zu:4723341:GTCYUXCC}	(Rebriev & Svetasheva 2010)
{ | Ребриев, et al., 2012 | | |zu:4723341:BUNKPZLT}	(Rebriev et al. 2012b)
{ | Ребриев, et al., 2012 | | |zu:4723341:MUWWX2GD}	(Rebriev et al. 2012a)
{ | Розенберг, & Саксонов, 2007 | | |zu:4723341:TDVK3E54}	(Rosenberg & Saksonov 2007)
{ | Ртищева, 1999 | | |zu:4723341:B8ESYAW2}	(Rtishcheva 1999)
{ | Руоколайнен, & Громцев, 2013 | | |zu:4723341:M8HYFR9I}	(Ruokolainen 2013)
{ | Руоколайнен, & Дьяков, 2008 | | |zu:4723341:GULBICZ5}	(Ruokolainen 2008)
{ | Руоколайнен, & Коткова, 2004 | | |zu:4723341:3DM3AKKM}	(Ruokolainen & Kotkova 2004)
{ | Руоколайнен, & Коткова, 2014 | | |zu:4723341:Y9ZQ77XM}	(Ruokolainen & Kotkova 2014)
{ | Руоколайнен, & Коткова, 2015 | | |zu:4723341:TWZH5E5F}	(Ruokolainen & Kotkova 2015)
{ | Руоколайнен, & Коткова, 2016 | | |zu:4723341:KQK5JCSB}	(Ruokolainen & Kotkova 2016b)
{ | Руоколайнен, & Коткова, 2016 | | |zu:4723341:NNAY62M4}	(Ruokolainen & Kotkova 2016a)
{ | Руоколайнен, & Коткова, 2017 | | |zu:4723341:48R5RLVD}	(Ruokolainen & Kotkova 2017)
{ | Руоколайнен, & Коткова, 2018 | | |zu:4723341:WF9YZ639}	(Ruokolainen & Kotkova 2018)
{ | Руоколайнен, & Коткова, 2019 | | |zu:4723341:X9G2WXVW}	(Ruokolainen & Kotkova 2019)
{ | Руоколайнен, & Коткова, 2021 | | |zu:4723341:QFY4PE78}	(Ruokolainen & Kotkova 2021)
{ | Руоколайнен, & Предтеченская, 2009 | | |zu:4723341:MMLMT6SM}	(Ruokolainen & Predtechenskaya 2009)
{ | Руоколайнен, & Предтеченская, 2021 | | |zu:4723341:PPJHFFSX}	(Ruokolainen & Predtechenskaya 2021)
{ | Руоколайнен, & Ширяев, 2020 | | |zu:4723341:HGP335U9}	(Ruokolainen & Shiryaev 2020)
{ | Руоколайнен, 2003 | | |zu:4723341:MVMKWYMZ}	(Ruokolainen 2003)
{ | Руоколайнен, et al., 2006 | | |zu:4723341:5FXSRFLK}	(Ruokolainen 2006)
{ | Руоколайнен, et al., 2011 | | |zu:4723341:JZR9VGWY}	(Ruokolainen et al. 2011)
{ | Руоколайнен, et al., 2015 | | |zu:4723341:MVCS6YLA}	(Ruokolainen 2015)
{ | Руоколайнен, et al., 2018 | | |zu:4723341:VHLRIZ2A}	(Ruokolainen et al. 2018b)
{ | Руоколайнен, et al., 2020 | | |zu:4723341:H99KWINN}	(Ruokolainen et al. 2020)
{ | Русанов, et al., 2004 | | |zu:4723341:QLHPUWDU}	(Rusanov et al. 2004)
{ | Русанов, et al., 2018 | | |zu:4723341:2JIYBCSR}	(Rusanov et al. 2018)
{ | Рябова, et al., 1981 | | |zu:4723341:3XTWJGSC}	(Ryabova & Ignatenko 1981)
{ | Самойлов, & Морозова, 2011 | | |zu:4723341:IVPYVVJV}	(Samoilov & Morozova 2011)
{ | Сарычева, & Ртищева, 1999 | | |zu:4723341:D6ACEPSX}	(Sarycheva 1999)
{ | Сарычева, & Сарычев, 2014 | | |zu:4723341:N4AR5M49}	(Sarycheva 2014)
{ | Сарычева, & Сарычев, 2021 | | |zu:4723341:3F82952B}	(Sarycheva 2021)
{ | Сарычева, 2016 | | |zu:4723341:EEMLJ2MV}	(Sarycheva 2016)
{ | Сарычева, et al., 2009 | | |zu:4723341:ZSW2Z6BS}	(Sarycheva et al. 2009)
{ | Сарычева, et al., 2017 | | |zu:4723341:5L96K8CL}	(Sarycheva et al. 2017)
{ | Сафонов, & Васинович, 2016 | | |zu:4723341:TNDKPD4I}	(Safonov 2016b)
{ | Сафонов, 1999 | | |zu:4723341:6EUJ7T9U}	(Safonov 1999)
{ | Сафонов, 2002 | | |zu:4723341:SK47BMX5}	(Safonov 2002)
{ | Сафонов, 2010 | | |zu:4723341:HHTI9E5F}	(Safonov 2010)
{ | Сафонов, 2015 | | |zu:4723341:JYRI29TB}	(Safonov 2015b)
{ | Сафонов, 2015 | | |zu:4723341:ZJDQ9FKD}	(Safonov 2015a)
{ | Сафонов, 2016 | | |zu:4723341:R5AZIIWP}	(Safonov 2016a)
{ | Сафонов, et al., 2013 | | |zu:4723341:GQCULKZJ}	(Safonov et al. 2013)
{ | Сафонов, et al., 2014 | | |zu:4723341:G4FSMIXH}	(Safonov et al. 2014)
{ | Сафонов, et al., 2015 | | |zu:4723341:NS26T9X4}	(Safonov et al. 2015)
{ | Сафонова, et al., 2013 | | |zu:4723341:GZWZ25XP}	(Safonova et al. 2013)
{ | Светашева, & Фрезе, 2013 | | |zu:4723341:ZRB4IUQZ}	(Svetasheva & Freze 2013)
{ | Светашева, 2018 | | |zu:4723341:VJK7P58F}	(Svetasheva 2018)
{ | Светашева, 2021 | | |zu:4723341:TAZD84H6}	(Svetasheva 2021)
{ | Светашева, et al., 2017 | | |zu:4723341:EV3TSJ8B}	(Svetasheva et al. 2017b)
{ | Селочник, & Романовский, 2015 | | |zu:4723341:PQGG2KXY}	(Selochnik 2015)
{ | Селочник, et al., 2004 | | |zu:4723341:NCF6VKU2}	(Selochnik 2004)
{ | Сенатор, & Саксонов, 2017 | | |zu:4723341:26PV5NBK}	(Senator & Saksonov 2017)
{ | Сербинов, 1914 | | |zu:4723341:32KVCXPE}	(Serbinov 1914)
{ | Сидорова, & Великанов, 1998 | | |zu:4723341:5445UPQB}	(Sidorova & Velikanova 1998)
{ | Силаева, 2017 | | |zu:4723341:2A3V3ATQ}	(Silaeva 2017)
{ | Силаева, et al., 2015 | | |zu:4723341:8SMGFZD3}	(Silaeva et al. 2015)
{ | Силаева, et al., 2016 | | |zu:4723341:9TC4UXES}	(Silaeva et al. 2016)
{ | Сионова, 2003 | | |zu:4723341:BIQ4TIUJ}	(Sionova 2003b)
{ | Сионова, 2003 | | |zu:4723341:VB9ARUMQ}	(Sionova 2003a)
{ | Сионова, 2006 | | |zu:4723341:EEMGCG65}	(Sionova 2006)
{ | Сионова, et al., 2003 | | |zu:4723341:P9IV64FM}	(Sionova 2003c)
{ | Сионова, et al., 2009 | | |zu:4723341:ESF2AH7E}	(Sionova 2009)
{ | Сиротина, et al., 2019 | | |zu:4723341:CLFTFA6R}	(Sirotina et al. 2019)
{ | Соколова, et al., 2006 | | |zu:4723341:RRI8U5IE}	(Sokolova et al. 2006)
{ | Соловьев, 1938 | | |zu:4723341:KQJV2GFN}	(Solovjev 1938)
{ | Сорокин, 1872 | | |zu:4723341:IKKC6EMP}	(Sorokin 1872)
{ | Сорокин, 2002 | | |zu:4723341:W85L7ZXD}	(Sorokin 2002)
{ | Сорокина, et al., 2013 | | |zu:4723341:ZI82RQLX}	(Sorokina et al. 2013)
{ | Сорокина, et al., 2017 | | |zu:4723341:MFV84PFP}	(Sorokina et al. 2017)
{ | Сошнина, & Власов, 2006 | | |zu:4723341:5JJ3SN2X}	(Soshnina 2006b)
{ | Сошнина, & Власов, 2010 | | |zu:4723341:VKEDT2F9}	(Soshnina 2010)
{ | Сошнина, & Золотухин, 1995 | | |zu:4723341:CDXXK4K4}	(Soshnina 1995)
{ | Сошнина, & Золотухин, 2001 | | |zu:4723341:MF4WXYGP}	(Soshnina 2001)
{ | Сошнина, & Золотухин, 2005 | | |zu:4723341:8DSE545N}	(Soshnina 2005)
{ | Сошнина, & Малешин, 2000 | | |zu:4723341:2QS37RRK}	(Soshnina 2000)
{ | Сошнина, & Рыжков, 2006 | | |zu:4723341:R9KDIYA8}	(Soshnina 2006a)
{ | Сошнина, & Рыжков, 2021 | | |zu:4723341:577P2I82}	(Soshnina 2021b)
{ | Сошнина, & Рыжков, 2021 | | |zu:4723341:VP8TBMKV}	(Soshnina 2021a)
{ | Спирин, & Ануфриев, 2001 | | |zu:4723341:CSM52A3P}	(Spirin 2001b)
{ | Спирин, & Змитрович, 2004 | | |zu:4723341:G5YV9VNS}	(Spirin & Zmitrovich 2004)
{ | Спирин, & Змитрович, 2007 | | |zu:4723341:UYHAGZIJ}	(Spirin & Zmitrovich 2007c)
{ | Спирин, & Малышева, 2006 | | |zu:4723341:U3X8NJRA}	(Spirin & Malysheva 2006)
{ | Спирин, & Широков, 2005 | | |zu:4723341:2JRYZ9SD}	(Spirin & Shirokov 2005)
{ | Спирин, 2002 | | |zu:4723341:BYMB6RNQ}	(Spirin 2002a)
{ | Спирин, 2002 | | |zu:4723341:PQU96QZZ}	(Spirin 2002b)
{ | Спирин, 2002 | | |zu:4723341:RTKF5X38}	(Spirin 2002c)
{ | Спирин, 2003 | | |zu:4723341:4NTI7PSV}	(Spirin 2003b)
{ | Спирин, 2003 | | |zu:4723341:JTMIK2UN}	(Spirin 2003a)
{ | Спирин, 2004 | | |zu:4723341:DD3G26GU}	(Spirin 2004)
{ | Спирин, 2007 | | |zu:4723341:C6GT3E2U}	(Spirin 2007b)
{ | Спирин, 2011 | | |zu:4723341:5HU25GTB}	(Spirin 2011)
{ | Спирин, et al., 2006 | | |zu:4723341:ANQ8CRFL}	(Spirin et al. 2006b)
{ | Ставишенко, & Веселовская, 2011 | | |zu:4723341:YU73C2F4}	(Stavishenko & Veselovskaya 2011)
{ | Ставишенко, & Лугинина, 2015 | | |zu:4723341:K5ZPZ57T}	(Stavishenko & Luginina 2015)
{ | Ставишенко, 2018 | | |zu:4723341:YBYVERDU}	(Stavishenko 2018)
{ | Ставишенко, et al., 2019 | | |zu:4723341:JVY75HMJ}	(Stavishenko et al. 2019)
{ | Степанова, 1975 | | |zu:4723341:CYZA47FK}	(Stepanova 1975)
{ | Степанова, et al., 1977 | | |zu:4723341:87428HUJ}	(Stepanova & Sirko 1977)
{ | Степанова-Картавенко, 1967 | | |zu:4723341:5EN8V745}	(Stepanova-Kartavenko 1967)
{ | Стороженко, & Коткова, 2013 | | |zu:4723341:LE6MH25N}	(Storozhenko & Kotkova 2013)
{ | Стороженко, et al., 2014 | | |zu:4723341:L5ELXQNT}	(Storozhenko et al. 2014)
{ | Стороженко, et al., 2018 | | |zu:4723341:SPGMMJQT}	(Storozhenko et al. 2018)
{ | Суслова, et al., 2013 | | |zu:4723341:398XNXZ8}	(Suslova et al. 2013)
{ | Таскаев, 2009 | | |zu:4723341:BRKUL5LT}	(Taskaev 2009)
{ | Тихомирова, & Тобиас, 1994 | | |zu:4723341:M39E83CB}	(Tikhomirova & Tobias 1994)
{ | Тихомирова, et al., 2016 | | |zu:4723341:R5L7DZ7D}	(Tikhomirova & Mineyeva 2016)
{ | Травкин, et al., 2020 | | |zu:4723341:2V5V4B9M}	(Travkin et al. 2020)
{ | Траншель, 1901 | | |zu:4723341:5W483KSH}	(Tranzschel 1901)
{ | Трусова, 1912 | | |zu:4723341:LVHT6LZQ}	(Trusova 1912)
