ZoteroScannableCite	bibliographicCitation_cl
{ | Malysheva, et al., 2018 | | |zu:4723341:XSSJZTIR}	(Malysheva et al. 2018b)
{ | Malysheva, et al., 2019 | | |zu:4723341:7ZICC3H9}	(Malysheva et al. 2019)
{ | Malysheva, et al., 2020 | | |zu:4723341:FDXXBCH7}	(Malysheva et al. 2020)
{ | Martini, & Hentic, 2005 | | |zu:4723341:YBL67FUP}	(Martini & Hentic 2005)
{ | McNabb, 1973 | | |zu:4723341:YEHYY6NY}	(McNabb 1973)
{ | Miettinen, & Larsson, 2011 | | |zu:4723341:CX398LG8}	(Miettinen & Larsson 2011)
{ | Miettinen, & Niemelä, 2018 | | |zu:4723341:LEVKNRJF}	(Miettinen & Niemelä 2018)
{ | Miettinen, et al., 2012 | | |zu:4723341:HPWQ9MPX}	(Miettinen et al. 2012a)
{ | Miettinen, et al., 2012 | | |zu:4723341:IE44KFQ9}	(Miettinen et al. 2012b)
{ | Miettinen, et al., 2016 | | |zu:4723341:2KCDHR3J}	(Miettinen et al. 2016)
{ | Miettinen, et al., 2018 | | |zu:4723341:HUGAR3SB}	(Miettinen et al. 2018)
{ | Miettinen, et al., 2019 | | |zu:4723341:2XEII8QR}	(Miettinen et al. 2019)
{ | Millanes, et al., 2015 | | |zu:4723341:WMF662LP}	(Millanes et al. 2015)
{ | Miller, 1934 | | |zu:4723341:4F8RMRL8}	(Miller 1934)
{ | Morozova, & Popov, 2006 | | |zu:4723341:BJVL7W5V}	(Morozova & Popov 2006)
{ | Morozova, & Popov, 2008 | | |zu:4723341:QRN789SG}	(Morozova & Popov 2008)
{ | Morozova, & Popov, 2014 | | |zu:4723341:PR8E9AGG}	(Morozova & Popov 2014)
{ | Morozova, 2005 | | |zu:4723341:QALTL5AY}	(Morozova 2005)
{ | Murrill, 1908 | | |zu:4723341:YVZ8ZYPQ}	(Murrill 1908)
{ | Nakasone, & Sytsma, 1993 | | |zu:4723341:DMEFC5LC}	(Nakasone & Sytsma 1993)
{ | Nakasone, 1997 | | |zu:4723341:ZI873NED}	(Nakasone 1997)
{ | Nakasone, 2013 | | |zu:4723341:D383MEHM}	(Nakasone 2013)
{ | Neuhoff, 1922 | | |zu:4723341:NVMCSYQN}	(Neuhoff 1922)
{ | Neuhoff, 1936 | | |zu:4723341:PN46B9HF}	(Neuhoff 1936)
{ | Niemelä, & Dai, 1997 | | |zu:4723341:NNXBPL28}	(Niemelä & Dai 1997)
{ | Niemelä, 1971 | | |zu:4723341:NEGXS6MT}	(Niemelä 1971)
{ | Niemelä, 1972 | | |zu:4723341:TVCE4NTV}	(Niemelä 1972)
{ | Niemelä, 1974 | | |zu:4723341:MPMIS4HB}	(Niemelä 1974)
{ | Niemelä, 1975 | | |zu:4723341:V2ENSTLN}	(Niemelä 1975)
{ | Niemelä, 1978 | | |zu:4723341:87G9YM8A}	(Niemelä 1978)
{ | Niemelä, 1980 | | |zu:4723341:6SCWU57Y}	(Niemelä 1980)
{ | Niemelä, 1982 | | |zu:4723341:RZ32GU96}	(Niemelä 1982)
{ | Niemelä, 1998 | | |zu:4723341:UIBV544P}	(Niemelä 1998)
{ | Niemelä, et al., 2001 | | |zu:4723341:G24JIQYY}	(Niemelä et al. 2001)
{ | Niemelä, et al., 2004 | | |zu:4723341:UAVP3BLH}	(Niemelä et al. 2004)
{ | Niemelä, et al., 2005 | | |zu:4723341:2ZJI8EPP}	(Niemelä et al. 2005)
{ | Niemelä, et al., 2012 | | |zu:4723341:4PHHEI6W}	(Niemelä et al. 2012)
{ | Nikolajeva, 1959 | | |zu:4723341:98HXSN6Q}	(Nikolajeva 1959)
{ | Nikolajeva, 1963 | | |zu:4723341:WVV82ZFC}	(Nikolajeva 1963)
{ | Nilsson, & Hallenberg, 2003 | | |zu:4723341:EJ67X8QG}	(Nilsson & Hallenberg 2003)
{ | Ordynets, et al., 2020 | | |zu:4723341:UQBEGJEM}	(Ordynets et al. 2020)
{ | Parmasto, & Parmasto, 1979 | | |zu:4723341:R8T33JE2}	(Parmasto & Parmasto 1979)
{ | Parmasto, 1965 | | |zu:4723341:6KF9E8KH}	(Parmasto 1965a)
{ | Parmasto, 1967 | | |zu:4723341:IB452PZW}	(Parmasto 1967a)
{ | Parmasto, 1968 | | |zu:4723341:DDAZYPTE}	(Parmasto 1968)
{ | Parmasto, 2001 | | |zu:4723341:HYXIDL9W}	(Parmasto 2001)
{ | Parmasto, 2007 | | |zu:4723341:9DJ9DNGA}	(Parmasto 2007)
{ | Peintner, et al., 2019 | | |zu:4723341:NERT39TZ}	(Peintner et al. 2019)
{ | Persoon, 1794 | | |zu:4723341:ERMJ63LV}	(Persoon 1794)
{ | Petersen, & Olexia, 1969 | | |zu:4723341:U5TZDYJZ}	(Petersen & Olexia 1969)
{ | Petersen, 1965 | | |zu:4723341:32UIVRLC}	(Petersen 1965)
{ | Petersen, 1968 | | |zu:4723341:YJU7ALJE}	(Petersen 1968)
{ | Pilát, 1934 | | |zu:4723341:RX3SLFGG}	(Pilát 1934)
{ | Popov, et al., 2007 | | |zu:4723341:BPCWAAVR}	(Popov et al. 2007)
{ | Pouzar, 1958 | | |zu:4723341:K2RIP7XD}	(Pouzar 1958)
