ZoteroScannableCite
{ | Федяева, 2014 | | |zu:4723341:NDJVIM8D}
{ | Фирсов, et al., 2021 | | |zu:4723341:BQYYDVP4}
{ | Хермансон, & Дегтева, 1997 | | |zu:4723341:7VEX9QA7}
{ | Хижнякова, et al., 2021 | | |zu:4723341:BV2AGBRM}
{ | Химич, & Змитрович, 2019 | | |zu:4723341:XPFSQNLF}
{ | Химич, & Исаева, 2014 | | |zu:4723341:BYFYMLK5}
{ | Химич, 2013 | | |zu:4723341:5NZQ6LEF}
{ | Химич, et al., 2015 | | |zu:4723341:BPLJZMQ7}
{ | Химич, et al., 2015 | | |zu:4723341:I4NGZB29}
{ | Химич, et al., 2016 | | |zu:4723341:6WFABS2S}
{ | Химич, et al., 2016 | | |zu:4723341:LEP6BSMN}
{ | Химич, et al., 2017 | | |zu:4723341:R3JHUW8M}
{ | Химич, et al., 2021 | | |zu:4723341:8UKAHUW3}
{ | Цвелев, 2000 | | |zu:4723341:E9K4R8BW}
{ | Частухин, & Николаевская, 1969 | | |zu:4723341:ZGI4X4H7}
{ | Частухин, 2011 | | |zu:4723341:HKP67NKW}
{ | Частухин, et al., 1948 | | |zu:4723341:G3E4JXKA}
{ | Частухин, et al., 1948 | | |zu:4723341:Q4MLUTJ3}
{ | Частухин, et al., 1952 | | |zu:4723341:D77MDHDC}
{ | Частухин, et al., 1953 | | |zu:4723341:CU7GL95Q}
{ | Чердинцев, et al., 2015 | | |zu:4723341:F3MBWX8S}
{ | Черепанова, et al., 1982 | | |zu:4723341:FRZGUP6Z}
{ | Чкалов, 2017 | | |zu:4723341:7YP5STLY}
{ | Чураков, & Евсеева, 2005 | | |zu:4723341:87X9G7V3}
{ | Чураков, et al., 1995 | | |zu:4723341:2Y6U2IB4}
{ | Шембель, 1915 | | |zu:4723341:NU47VENR}
{ | Шембель, 1923 | | |zu:4723341:48RUG5HX}
{ | Шепель, 2008 | | |zu:4723341:YZXFRD55}
{ | Ширяев, & Волобуев, 2013 | | |zu:4723341:58UR2UKH}
{ | Ширяев, & Матвеева, 2015 | | |zu:4723341:VFQ93N8Z}
{ | Ширяев, & Руоколайнен, 2017 | | |zu:4723341:FVZXCD5Y}
{ | Ширяев, & Таскаев, 2000 | | |zu:4723341:HKSWB22K}
{ | Ширяев, 2008 | | |zu:4723341:5CBH2TMD}
{ | Ширяев, 2009 | | |zu:4723341:RL4IS582}
{ | Ширяев, 2012 | | |zu:4723341:E2L7Y4CL}
{ | Ширяев, 2013 | | |zu:4723341:AP5U7FCV}
{ | Ширяев, 2013 | | |zu:4723341:I3WH2E9C}
{ | Ширяев, 2014 | | |zu:4723341:CQHNL8GH}
{ | Ширяев, 2016 | | |zu:4723341:DKRYFBJ4}
{ | Ширяев, et al., 2017 | | |zu:4723341:9GBSX3YP}
{ | Шляхтин, & Болдырев, 2021 | | |zu:4723341:JLGM4AZI}
{ | Шляхтин, 2006 | | |zu:4723341:3PE5DB93}
{ | Штукенберг, 1913 | | |zu:4723341:36L99UJY}
{ | Щербаков, 2010 | | |zu:4723341:Q7K23PBL}
{ | Щербаков, 2014 | | |zu:4723341:2NB4JN46}
{ | Юницкий, 1927 | | |zu:4723341:KG4LSHUQ}
{ | Юпина, & Дёмина, 2005 | | |zu:4723341:KMDPN4HF}
{ | Юпина, 1987 | | |zu:4723341:MKGJTV9Z}
{ | Юпина, 2010 | | |zu:4723341:62SF6ENU}
{ | Юпина, et al., 2005 | | |zu:4723341:XD3X7MJL}
{ | Юпина, et al., 2009 | | |zu:4723341:MIWH6NFB}
{ | Юпина, et al., 2012 | | |zu:4723341:UQUEIC2H}
{ | Юпина, et al., 2013 | | |zu:4723341:9MDT94LD}
{ | Ячевский, 1895 | | |zu:4723341:ZFCAW2IW}
